name,url,profile,additional_urls
Thomas Binford,https://www.cs.stanford.edu/people/thomas-binford,"Main content start Professor (research) of Computer Science, Emeritus Thomas Binford Professor (research) of Computer Science, Emeritus Back to Top",https://www.cs.stanford.edu/events
Jeannette Bohg,https://www.cs.stanford.edu/people/jeannette-bohg,"Main content start Assistant Professor of Computer Science Jeannette Bohg Assistant Professor of Computer Science Jeannette Bohg is an Assistant Professor of Computer Science at Stanford University. She was a group leader at the Autonomous Motion Department (AMD) of the MPI for Intelligent Systems until September 2017. Before joining AMD in January 2012, Jeannette Bohg was a PhD student at the Division of Robotics, Perception and Learning (RPL) at KTH in Stockholm. In her thesis, she proposed novel methods towards multi-modal scene understanding for robotic grasping. She also studied at Chalmers in Gothenburg and at the Technical University in Dresden where she received her Master in Art and Technology and her Diploma in Computer Science, respectively. Her research focuses on perception and learning for autonomous robotic manipulation and grasping. She is specifically interesting in developing methods that are goal-directed, real-time and multi-modal such that they can provide meaningful feedback for execution and learning. Jeannette Bohg has received several awards, most notably the 2019 IEEE International Conference on Robotics and Automation (ICRA) Best Paper Award, the 2019 IEEE Robotics and Automation Society Early Career Award and the 2017 IEEE Robotics and Automation Letters (RA-L) Best Paper Award. Contact bohg@stanford.edu Mail Code 9010 Links Personal Page View Full Stanford Profile Back to Top",https://web.stanford.edu/~bohg/
Dan Boneh,https://www.cs.stanford.edu/people/dan-boneh,"Main content start Cryptography Professor, Professor of Electrical Engineering and Senior Fellow at the Freeman Spogli Institute for International Studies Dan Boneh Cryptography Professor, Professor of Electrical Engineering and Senior Fellow at the Freeman Spogli Institute for International Studies Professor Boneh heads the applied cryptography group and co-direct the computer security lab.  Professor Boneh's research focuses on applications of cryptography to computer security. His work includes cryptosystems with novel properties, web security, security for mobile devices, and cryptanalysis. He is the author of over a hundred publications in the field and is a Packard and Alfred P. Sloan  fellow.  He is a recipient of the 2014 ACM prize and the 2013 Godel prize.  In 2011 Dr. Boneh received the Ishii award for industry education innovation. Professor Boneh received his Ph.D from Princeton University and joined Stanford in 1997. Education PhD, Princeton (1996) Contact (650) 725-3897 dabo@cs.stanford.edu Mail Code 9045 Links http://crypto.stanford.edu/~dabo View Full Stanford Profile Back to Top",http://crypto.stanford.edu/ http://crypto.stanford.edu/~dabo
Adam Bouland,https://www.cs.stanford.edu/people/adam-bouland,Main content start Assistant Professor of Computer Science Adam Bouland Assistant Professor of Computer Science Adam Bouland is an Assistant Professor of Computer Science. His research focuses on quantum computing theory and connections between computational complexity and physics. Please see http://theory.stanford.edu/~abouland/ for details. Contact abouland@stanford.edu Mail Code 9045 View Full Stanford Profile Back to Top,https://www.cs.stanford.edu/events
Emma Brunskill,https://www.cs.stanford.edu/people/emma-brunskill,"Main content start Associate Professor of Computer Science and, by courtesy, of Education Emma Brunskill Associate Professor of Computer Science and, by courtesy, of Education Education PhD, Massachusetts Institute of Technology, Computer Science  (2009) Contact View Full Stanford Profile Back to Top",https://www.cs.stanford.edu/events
Mike Carbin Carbin,https://www.cs.stanford.edu/people/mike-carbin,Main content start Visiting Associate Professor Mike Carbin Carbin Visiting Associate Professor Back to Top,https://www.cs.stanford.edu/events
Edward Chang,https://www.cs.stanford.edu/people/edward-chang-0,"Main content start Acting Professor, Computer Science Edward Chang Acting Professor, Computer Science Edward Chang, a pioneer working on data-centric parallel machine learning since 2005. He is an adjunct professor at Stanford CS department. He also serves as the CTO of AILLY.ai. Prior to his current posts, Ed was the president of HTC Healthcare BU (DeepQ) from 2012 to 2021. Between 2006 and 2012 he served as a director of research at Google, leading research and development in areas including scalable machine learning, indoor localization, Google Q&A, and recommendation systems. Between 1999 and 2006, Ed was a full professor of Electrical & Computer Engineering at the University of California, Santa Barbara. He joined UCSB in 1999 after receiving his MS in CS and PhD in EE degrees, both from Stanford University. He is a recipient of the NSF Career award, Google Innovation award, US$1M Tricorder XPRIZE (AI for disease diagnosis) award, and ACM SIGMM test-of-time award. Ed is a Fellow of ACM and IEEE for his contributions to scalable machine learning and healthcare. For further details, please visit https://en.wikipedia.org/wiki/Edward_Y._Chang Contact echang@cs.stanford.edu Links Personal Website Back to Top",http://infolab.stanford.edu/~echang/
Moses Charikar,https://www.cs.stanford.edu/people/moses-charikar,"Main content start Donald E. Knuth Professor and Professor, by courtesy, of Mathematics Moses Charikar Donald E. Knuth Professor and Professor, by courtesy, of Mathematics Moses Charikar is the Donald E. Knuth professor of Computer Science at Stanford University. He obtained his PhD from Stanford in 2000, spent a year in the research group at Google, and was on the faculty at Princeton from 2001-2015. His research interests include: efficient algorithmic techniques for processing, searching and indexing massive high-dimensional data sets; efficient algorithms for computational problems in high-dimensional statistics and optimization problems in machine learning; approximation algorithms for discrete optimization problems with provable guarantees; convex optimization approaches for non-convex combinatorial optimization problems; low-distortion embeddings of finite metric spaces. His work won best paper awards at FOCS 2003, COLT 2017 and SODA 2024, the 10 year best paper award at VLDB 2017 and the 20 year test of time award at STOC 2022. He was jointly awarded the 2012 Paris Kanellakis Theory and Practice Award for his work on locality sensitive hashing, was named a Simons Investigator in theoretical computer science in 2014, and an ACM Fellow in 2021. Education B.Tech., Indian Institute of Technology, Bombay, Computer Science and Engineering  (1995) Ph.D., Stanford University, Computer Science  (2000) Contact charikar@stanford.edu Mail Code 9045 Links Google Scholar page DBLP  page Semantic Scholar page View Full Stanford Profile Back to Top",https://scholar.google.co.in/citations?user=fYO2d9IAAAAJ&hl=en
William Dally,https://www.cs.stanford.edu/people/william-dally-0,"Main content start Adjunct Professor, Emeritus William Dally Adjunct Professor, Emeritus Contact dally@stanford.edu Back to Top",https://www.cs.stanford.edu/events
Dora Demszky,https://www.cs.stanford.edu/people/dora-demszky,"Main content start Assistant Professor, Graduate School of Education, Assistant Professor, by courtesy, Computer Science Dora Demszky Assistant Professor, Graduate School of Education, Assistant Professor, by courtesy, Computer Science Dr. Demszky is an Assistant Professor in Education Data Science at the Graduate School of Education at Stanford University. She works on developing natural language processing methods to support equitable and student-centered instruction. She has developed tools to give feedback to teachers on dialogic instructional practices, to analyze representation in textbooks, measure the presence of dialect features in text, among others. Dr Demszky has received her PhD in Linguistics at Stanford University, supervised by Dr Dan Jurafsky. Prior to her PhD, Dr. Demszky received a BA summa cum laude from Princeton University in Linguistics with a minor in Computer Science. Back to Top",https://www.cs.stanford.edu/events
Ron Dror,https://www.cs.stanford.edu/people/ron-dror,"Main content start Cheriton Family Professor and Professor, by courtesy, of Structural Biology and of Molecular & Cellular Physiology Ron Dror Cheriton Family Professor and Professor, by courtesy, of Structural Biology and of Molecular & Cellular Physiology Ron Dror is the Cheriton Family Professor of Computer Science in the Stanford Artificial Intelligence Lab. Dr. Dror leads a research group that uses molecular simulation and machine learning to elucidate biomolecular structure, dynamics, and function, and to guide the development of more effective medicines. He collaborates extensively with experimentalists in both academia and industry. Before moving to Stanford, Dr. Dror served as second-in-command of D. E. Shaw Research, a hundred-person company, having joined as its first hire. He designed computer hardware, software, and algorithms that accelerate molecular dynamics simulations by orders of magnitude, and applied these simulations to the study of protein function, protein folding, and protein-drug interactions. Dr. Dror earned a PhD in Electrical Engineering and Computer Science at MIT, where he developed machine learning methods for computer vision and genomics. He earned an MPhil in Biological Sciences as a Churchill Scholar at the University of Cambridge, as well as undergraduate degrees in Mathematics and in Electrical and Computer Engineering at Rice University, summa cum laude. He has been awarded a Fulbright Scholarship and fellowships from the National Science Foundation, the Department of Defense, and the Whitaker Foundation, as well as two Gordon Bell Prizes and several Best Paper awards. His work has been highlighted by Science as a top-10 breakthrough of the year. Contact (650) 497-8586 ron.dror@stanford.edu Mail Code 9020 Links Dror Lab View Full Stanford Profile Back to Top",http://drorlab.stanford.edu/
Zakir Durumeric,https://www.cs.stanford.edu/people/zakir-durumeric,"Main content start Assistant Professor of Computer Science Zakir Durumeric Assistant Professor of Computer Science I am an Assistant Professor of Computer Science. My research brings a large-scale, empirical approach to the study of Internet security, trust, and safety. I build systems to measure complex networked ecosystems, and I use the resulting perspective to understand real-world behavior, uncover weaknesses and attacks, architect and deploy more resilient approaches, and guide public policy. Education Ph.D., University of Michigan, Computer Science and Engineering  (2017) Contact (650) 724-6279 zakir@cs.stanford.edu Mail Code 9025 Links https://zakird.com View Full Stanford Profile Back to Top",https://zakird.com
Dawson Engler,https://www.cs.stanford.edu/people/dawson-engler,"Main content start Associate Professor of Computer Science and of Electrical Engineering Dawson Engler Associate Professor of Computer Science and of Electrical Engineering Engler's research focuses both on building interesting software systems and on discovering and exploring the underlying principles of all systems. Education PhD, MIT (1998) Contact (650) 723-0762 engler@stanford.edu Mail Code 9030 Links https://web.stanford.edu/~engler View Full Stanford Profile Back to Top",https://web.stanford.edu/ https://web.stanford.edu/~engler
Stefano Ermon,https://www.cs.stanford.edu/people/stefano-ermon,"Main content start Associate Professor of Computer Science and Senior Fellow at the Woods Institute for the Environment Stefano Ermon Associate Professor of Computer Science and Senior Fellow at the Woods Institute for the Environment I am an Assistant Professor in the Department of Computer Science at Stanford University, where I am affiliated with the Artificial Intelligence Laboratory and a fellow of the Woods Institute for the Environment. My research is centered on techniques for scalable and accurate inference in graphical models, statistical modeling of data, large-scale combinatorial optimization, and robust decision making under uncertainty, and is motivated by a range of applications, in particular ones in the emerging field of computational sustainability. Education Ph.D., Cornell University, Computer Science  (2015) Contact ermon@stanford.edu Mail Code 9010 Links Personal Site Group Site View Full Stanford Profile Back to Top",https://cs.stanford.edu/~ermon/
Kayvon Fatahalian,https://www.cs.stanford.edu/people/kayvon-fatahalian,"Main content start Associate Professor of Computer Science Kayvon Fatahalian Associate Professor of Computer Science Kayvon Fatahalian is an Associate Professor in the Computer Science Department at Stanford University. Kayvon's research focuses on the design of systems for real-time graphics, high-efficiency simulation engines for applications in entertainment and AI, and platforms for the analysis of images and videos at scale. Contact View Full Stanford Profile Back to Top",https://www.cs.stanford.edu/events
Ron Fedkiw,https://www.cs.stanford.edu/people/ron-fedkiw,"Main content start Canon Professor in the School of Engineering Ron Fedkiw Canon Professor in the School of Engineering Fedkiw's research is focused on the design of new computational algorithms for a variety of applications including computational fluid dynamics, computer graphics, and biomechanics. Education PhD, UCLA (1996) Contact fedkiw@cs.stanford.edu Mail Code 9020 Links http://graphics.stanford.edu/~fedkiw View Full Stanford Profile Back to Top",http://graphics.stanford.edu/ http://graphics.stanford.edu/~fedkiw
Edward Feigenbaum,https://www.cs.stanford.edu/people/edward-feigenbaum,"Main content start Professor of Computer Science, Emeritus Edward Feigenbaum Professor of Computer Science, Emeritus Contact Links Wikipedia Entry In the University Archives Back to Top",https://en.wikipedia.org/wiki/Edward_Feigenbaum
Chelsea Finn,https://www.cs.stanford.edu/people/chelsea-finn,"Main content start Assistant Professor of Computer Science and of Electrical Engineering Chelsea Finn Assistant Professor of Computer Science and of Electrical Engineering Chelsea Finn is an Assistant Professor in Computer Science and Electrical Engineering at Stanford University, and the William George and Ida Mary Hoover Faculty Fellow. Professor Finn's research interests lie in the ability to enable robots and other agents to develop broadly intelligent behavior through learning and interaction. Her work lies at the intersection of machine learning and robotic control, including topics such as end-to-end learning of visual perception and robotic manipulation skills, deep reinforcement learning of general skills from autonomously collected data, and meta-learning algorithms that can enable fast learning of new concepts and behaviors. Professor Finn received her Bachelors degree in Electrical Engineering and Computer Science at MIT and her PhD in Computer Science at UC Berkeley. Her research has been recognized through the ACM doctoral dissertation award, the Presidential Early Career Award for Scientists and Engineers, and the MIT Technology Review 35 under 35 list, and her work has been covered by various media outlets, including the New York Times, Wired, and Bloomberg. Throughout her career, she has sought to increase the representation of underrepresented minorities within CS and AI by developing an AI outreach camp at Berkeley for underprivileged high school students, a mentoring program for underrepresented undergraduates across three universities, and leading efforts within the WiML and Berkeley WiCSE communities of women researchers. Contact cbfinn@cs.stanford.edu Mail Code 9020 Links Academic website Google Scholar CV View Full Stanford Profile Back to Top",http://ai.stanford.edu/~cbfinn/
Emily Fox,https://www.cs.stanford.edu/people/emily-fox,"Main content start Professor of Statistics and of Computer Science Emily Fox Professor of Statistics and of Computer Science Emily Fox is a Professor in the Departments of Statistics and Computer Science at Stanford University.  Prior to Stanford, she was the Amazon Professor of Machine Learning in the Paul G. Allen School of Computer Science & Engineering and Department of Statistics at the University of Washington. From 2018-2021, Emily led the Health AI team at Apple, where she was a Distinguished Engineer.  Before joining UW, Emily was an Assistant Professor at the Wharton School Department of Statistics at the University of Pennsylvania. She earned her doctorate from Electrical Engineering and Computer Science (EECS) at MIT where her thesis was recognized with EECS' Jin-Au Kong Outstanding Doctoral Thesis Prize and the Leonard J. Savage Award for Best Thesis in Applied Methodology. Emily has been awarded a CZ Biohub Investigator Award, Presidential Early Career Award for Scientists and Engineers (PECASE), a Sloan Research Fellowship, ONR Young Investigator Award, and NSF CAREER Award.  Her research interests are in modeling complex time series arising in health, particularly from health wearables and neuroimaging modalities. Education Ph.D., Massachusetts Institute of Technology (MIT), Electrical Engineering and Computer Science  (2009) E.E., Massachusetts Institute of Technology (MIT), Electrical Engineering and Computer Science  (2008) M.Eng., Massachusetts Institute of Technology (MIT), Electrical Engineering and Computer Science  (2005) S.B., Massachusetts Institute of Technology (MIT), Electrical Science and Engineering  (2004) Contact ebfox@stanford.edu Mail Code 4065 Links https://emilybfox.su.domains View Full Stanford Profile Back to Top",https://emilybfox.su.domains
Adrien Gaidon,https://www.cs.stanford.edu/people/adrien-gaidon,"Main content start Adjunct Professor Adrien Gaidon Adjunct Professor Current Projects Human-Centered Action Recognition and Prediction Physical and Functional Inductive Biases for Visual Representation Learning (Collaboration with MIT) Planning Set-Based Trajectory Envelopes in Dynamic Driving Environments for Guaranteed-Safe Guardian Autonomy Completed Projects Robust and Interpretable Machine Learning via Natural Language Explanations Interaction-Aware Control for Cars that Anticipate and Explain Complex Environments Joint Contextual Forecasting of Vehicle Behaviors, Actions, and Trajectories Joint Contextual Forecasting of Vehicle Behaviors, Actions, and Trajectories (2) Data-efficient Algorithms for Machine Learning with Provable Guarantee Back to Top",https://www.cs.stanford.edu/events
Michael Genesereth,https://www.cs.stanford.edu/people/michael-genesereth,"Main content start Associate Professor of Computer Science Michael Genesereth Associate Professor of Computer Science Genesereth is most known for his work on Computational Logic and applications of that work in Enterprise Management, Computational Law, and General Game Playing. He is one of the founders of Teknowledge, CommerceNet, Mergent Systems, and Symbium. Genesereth is the director of the Logic Group at Stanford and the founder and research director of CodeX - the Stanford Center for Legal Informatics. Education PhD, Harvard University (1978) Contact (650) 723-0934 genesereth@stanford.edu Mail Code 9020 Links http://logic.stanford.edu/people/genesereth View Full Stanford Profile Back to Top",http://logic.stanford.edu/people/genesereth
Noah Goodman,https://www.cs.stanford.edu/people/noah-goodman,"Main content start Professor of Psychology and of Computer Science Noah Goodman Professor of Psychology and of Computer Science Education B.A., University of Arizona, Mathematics  (1997) B.S., University of Arizona, Physics  (1997) Ph.D., University of Texas at Austin, Mathematics  (2003) Contact ngoodman@stanford.edu Mail Code 2130 Links Computation & Cognition Lab View Full Stanford Profile Back to Top",https://cocolab.stanford.edu/
Christopher Gregg,https://www.cs.stanford.edu/people/christopher-gregg,"Main content start Associate Professor (Teaching) of Computer Science Christopher Gregg Associate Professor (Teaching) of Computer Science Chris Gregg received his Ph.D. in Computer Engineering from the University of Virginia in 2012, has a Master's of Education from Harvard University (2002), and a BS in Electrical Engineering from Johns Hopkins University (1994). Prior to becoming a lecturer at Stanford, Chris was a lecturer in the computer science department at Tufts University, and prior to that he taught high school physics in Massachusetts and California for seven years. Chris was on active duty in the Navy for seven years, and remains as a Commander in the Navy Reserves in the Information Warfare / Cryptology community. Chris's research interests include computer architecture (specifically, general purpose computing on GPUs) and the pedagogy of computer science teaching and instruction. Education Ph.D., University of Virginia, Computer Engineering  (2012) M.Ed., Harvard University, Education (Physics)  (2002) B.S., Johns Hopkins University, Electrical Engineering  (1994) Contact cgregg@stanford.edu Mail Code 9015 View Full Stanford Profile Back to Top",https://www.cs.stanford.edu/events
Carlos Ernesto Guestrin,https://www.cs.stanford.edu/people/carlos-guestrin,"Main content start Fortinet Founders Professor and Senior Fellow at the Stanford Institute for Human-Centered AI Carlos Ernesto Guestrin Fortinet Founders Professor and Senior Fellow at the Stanford Institute for Human-Centered AI Carlos Guestrin is a Professor in the Computer Science Department at Stanford University. His previous positions include the Amazon Professor of Machine Learning at the Computer Science & Engineering Department of the University of Washington, the Finmeccanica Associate Professor at Carnegie Mellon University, and the Senior Director of Machine Learning and AI at Apple, after the acquisition of Turi, Inc. (formerly GraphLab and Dato) — Carlos co-founded Turi, which developed a platform for developers and data scientist to build and deploy intelligent applications. He is a technical advisor for OctoML.ai. His team also released a number of popular open-source projects, including XGBoost, LIME, Apache TVM, MXNet, Turi Create, GraphLab/PowerGraph, SFrame, and GraphChi. Carlos received the IJCAI Computers and Thought Award and the Presidential Early Career Award for Scientists and Engineers (PECASE). He is also a recipient of the ONR Young Investigator Award, NSF Career Award, Alfred P. Sloan Fellowship, and IBM Faculty Fellowship, and was named one of the 2008 ‘Brilliant 10’ by Popular Science Magazine. Carlos’ work received awards at a number of conferences and journals, including ACL, AISTATS, ICML, IPSN, JAIR, JWRPM, KDD, NeurIPS, UAI, and VLDB. He is a former member of the Information Sciences and Technology (ISAT) advisory group for DARPA. Contact guestrin@stanford.edu Mail Code 9010 Links My faculty website. View Full Stanford Profile Back to Top",http://guestrin.stanford.edu
Leonidas Guibas,https://www.cs.stanford.edu/people/leonidas-guibas,"Main content start Paul Pigott Professor of Engineering and Professor, by courtesy, of Electrical Engineering Leonidas Guibas Paul Pigott Professor of Engineering and Professor, by courtesy, of Electrical Engineering Professor Guibas heads the Geometric Computation group in the Computer Science Department of Stanford University and is a member of the Computer Graphics and Artificial Intelligence Laboratories. He works on algorithms for sensing, modeling, reasoning, rendering, and acting on the physical world. Guibas interests span computational geometry, geometric modeling, computer graphics, computer vision, sensor networks, robotics, and discrete algorithms --- all areas in which he has published and lectured extensively. Current foci of interest include geometric modeling with point cloud data, deformations and contacts, organizing and searching libraries of 3D shapes and images, sensor networks for lightweight distributed estimation / reasoning, analysis of GPS traces and other mobility data, and modeling the shape and motion biological macromolecules and other biological structures. More theoretical work is aimed at investigating fundamental computational issues and limits in geometric computing and modeling. Education PhD, Stanford University (1976) MS, California Institute of Technology (1971) BS, California Institute of Technology (1971) Contact (650) 723-0304 guibas@cs.stanford.edu Mail Code 9010 Links http://graphics.stanford.edu/~guibas View Full Stanford Profile Back to Top",http://graphics.stanford.edu/ http://graphics.stanford.edu/~guibas
Christopher Hahn,https://www.cs.stanford.edu/people/christopher-hahn-0,Main content start Visiting Associate Professor Christopher Hahn Visiting Associate Professor Back to Top,https://www.cs.stanford.edu/events
Tatsunori Hashimoto,https://www.cs.stanford.edu/people/tatsunori-hashimoto,Main content start Assistant Professor of Computer Science Tatsunori Hashimoto Assistant Professor of Computer Science Contact thashim@stanford.edu Mail Code 9020 Links website View Full Stanford Profile Back to Top,http://thashim.com
